Rank,Release Group,Worldwide,Domestic,%,Foreign,%
34,"8 rzeczy, których nie wiecie o facetach","$1,074,110",-,-,"$1,074,110",100%
35,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
36,Veerame Vaagai Soodum,"$1,021,154",-,-,"$1,021,154",100%
37,The Young Lovers,"$964,674",-,-,"$964,674",100%
38,Mali Twist,"$956,475",-,-,"$956,475",100%
39,Nhà Khong Bán,"$905,158",-,-,"$905,158",100%
40,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
41,The Souvenir,"$827,620",-,-,"$827,620",100%
42,My Brothers and I,"$825,312",-,-,"$825,312",100%
43,A Radiant Girl,"$795,658",-,-,"$795,658",100%
44,Heart to Heart,"$759,972",-,-,"$759,972",100%
45,Placés,"$759,453",-,-,"$759,453",100%
46,1990,"$759,054",-,-,"$759,054",100%
47,America Latina,"$693,818",-,-,"$693,818",100%
48,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,-,"$658,191",100%
49,Liubov i blohery,"$650,857",-,-,"$650,857",100%
50,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
51,Boiling Point,"$606,053",-,-,"$606,053",100%
52,The Grandmother,"$584,217",-,-,"$584,217",100%
53,Bangarraju,"$534,735",-,-,"$534,735",100%
54,"Love, Sex & Pandemic","$517,089",-,-,"$517,089",100%
55,Zlatni decko,"$516,236",-,-,"$516,236",100%
56,Kaptan Pengu ve Arkadaslari 2,"$488,304",-,-,"$488,304",100%
57,Adieu Paris,"$483,187",-,-,"$483,187",100%
58,Around the World in 80 Days,"$479,303",-,-,"$479,303",100%
59,Lynx,"$422,773",-,-,"$422,773",100%
60,The Chef,"$416,658",-,-,"$416,658",100%
61,Fireheart,"$376,770",-,-,"$376,770",100%
62,The Glance of Music,"$350,503",-,-,"$350,503",100%
63,Nitram,"$344,826",-,-,"$344,826",100%
64,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
65,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
66,Clean,"$315,448","$315,448",100%,-,-
67,Dilberay Küçük Dev Kadin,"$276,902",-,-,"$276,902",100%
68,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
69,Secret Name,"$254,609",-,-,"$254,609",100%
70,Last Looks,"$253,681",-,-,"$253,681",100%
71,Petya na moyata Petya,"$241,114",-,-,"$241,114",100%
72,Naai Sekar,"$237,861",-,-,"$237,861",100%
73,The Best Weekend,"$224,062",-,-,"$224,062",100%
74,Un Rabón con Corazón,"$216,368",-,-,"$216,368",100%
75,Sundown,"$214,263","$214,263",100%,-,-
76,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
77,Emergency Situation,"$196,534",-,-,"$196,534",100%
78,Super Sharanya,"$185,427",-,-,"$185,427",100%
79,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
80,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
81,Rosy,"$170,246",-,-,"$170,246",100%
82,Al Gareema,"$167,833",-,-,"$167,833",100%
83,The Grandson,"$164,306",-,-,"$164,306",100%
84,Anka,"$152,402",-,-,"$152,402",100%
85,Arthur Rambo,"$148,312",-,-,"$148,312",100%
86,Pups Alone,"$144,216",-,-,"$144,216",100%
87,Book of Love,"$138,394",-,-,"$138,394",100%
88,Jane by Charlotte,"$133,152",-,-,"$133,152",100%
89,Stop-Zemlia,"$131,843",-,-,"$131,843",100%
90,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
91,Afacanlar: Is Basa Düstü,"$124,628",-,-,"$124,628",100%
92,100 días con la Tata,"$123,609",-,-,"$123,609",100%
93,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%
94,Project 'Gemini',"$105,631",-,-,"$105,631",100%
95,Meppadiyan,"$94,214",-,-,"$94,214",100%
96,Ghosts of the Ozarks,"$81,210",-,-,"$81,210",100%
97,See for Me,"$79,411","$51,218",64.5%,"$28,193",35.5%
98,Masal Zamani Melez Prenses,"$70,258",-,-,"$70,258",100%
99,The Last Execution,"$68,529",-,-,"$68,529",100%
100,The Conversation 2021 Re-release,"$65,764","$65,764",100%,-,-
101,Shattered,"$65,343",-,-,"$65,343",100%
102,Tazza 2: The Hidden Card,"$61,756",-,-,"$61,756",100%
103,Panghrun,"$60,244",-,-,"$60,244",100%
104,Träume sind wie wilde Tiger,"$59,423",-,-,"$59,423",100%
105,Howl's Moving Castle 2022 Re-release,"$54,646",-,-,"$54,646",100%
106,Mult V Kino Vol 133,"$53,075",-,-,"$53,075",100%
107,Flight 666,"$52,997",-,-,"$52,997",100%
108,Save the Cinema,"$51,825",-,-,"$51,825",100%
109,Ghost in Transit,"$49,333",-,-,"$49,333",100%
110,Sing a Bit of Harmony,"$48,915",-,-,"$48,915",100%
111,Art of the Dead,"$48,621",-,-,"$48,621",100%
112,Sewing Sisters,"$47,588",-,-,"$47,588",100%
113,Mr. Landsbergis,"$46,298",-,-,"$46,298",100%
114,La notte più lunga dell'anno,"$46,124",-,-,"$46,124",100%
115,Cow,"$45,678",-,-,"$45,678",100%
116,Fortress,"$45,617",-,-,"$45,617",100%
117,Blow-Up 2020 Re-release,"$45,418",-,-,"$45,418",100%
118,Gold,"$45,021",-,-,"$45,021",100%
119,Ballad of a White Cow,"$42,467",-,-,"$42,467",100%
120,Muu Ke Thuong Luu,"$37,497",-,-,"$37,497",100%
121,"That Day, on the Beach","$37,482",-,-,"$37,482",100%
122,Nalan,"$33,925",-,-,"$33,925",100%
123,"That Day, on the Beach 2022 Re-release","$33,046",-,-,"$33,046",100%
124,We Are Nothing,"$32,876",-,-,"$32,876",100%
125,Fritanga Express,"$31,153",-,-,"$31,153",100%
126,Only Fools Rush In,"$29,913",-,-,"$29,913",100%
127,C.I.Ape,"$28,517",-,-,"$28,517",100%
128,Embrace Again,"$27,036",-,-,"$27,036",100%
129,Mariya,"$26,107",-,-,"$26,107",100%
130,Düs Pesine,"$25,416",-,-,"$25,416",100%
131,Shortbus 2022 Re-release (Restoration),"$24,200","$24,200",100%,-,-
132,Yildizlar Da Kayar,"$23,558",-,-,"$23,558",100%
133,Know Fear,"$23,309",-,-,"$23,309",100%
134,Kara Neme: Gelin Deresi,"$23,177",-,-,"$23,177",100%
135,Spravzhnii Santa,"$21,719",-,-,"$21,719",100%
136,Portret neznakomtsa,"$19,968",-,-,"$19,968",100%
137,Nashi deti,"$19,749",-,-,"$19,749",100%
138,The Commando,"$19,253",-,-,"$19,253",100%
139,Candlelight Revolution,"$19,153",-,-,"$19,153",100%
140,A Vanishing Fog,"$17,138",-,-,"$17,138",100%
141,Cumali Ceber 666,"$17,009",-,-,"$17,009",100%
142,The Sadness,"$15,375",-,-,"$15,375",100%
143,Lobis,"$15,359",-,-,"$15,359",100%
144,Brighton 4th,"$15,193","$15,193",100%,-,-
145,Mothers of the Revolution,"$13,871",-,-,"$13,871",100%
146,Olga,"$12,939",-,-,"$12,939",100%
147,Doineann,"$12,175",-,-,"$12,175",100%
148,The Crusade,"$11,490",-,-,"$11,490",100%
149,Friday the 13th 2021 Re-release,"$11,064",-,-,"$11,064",100%
150,Lübbey'in Laneti,"$10,187",-,-,"$10,187",100%
151,Shooter,"$9,204",-,-,"$9,204",100%
152,WarHunt,"$8,953",-,-,"$8,953",100%
153,Catch the Fair One,"$8,661","$7,992",92.3%,$669,7.7%
154,The Pregnant Tree and the Goblin,"$8,655",-,-,"$8,655",100%
155,Broken Keys,"$8,510",-,-,"$8,510",100%
156,My Little Princess 2022 Re-release,"$8,018",-,-,"$8,018",100%
157,Söhretler Okulu,"$7,638",-,-,"$7,638",100%
158,Dzhigalou,"$7,578",-,-,"$7,578",100%
159,Ubit bossa,"$7,565",-,-,"$7,565",100%
160,Zayed 9,"$7,273",-,-,"$7,273",100%
161,Koati,"$7,118",-,-,"$7,118",100%
162,Deadlock,"$6,491",-,-,"$6,491",100%
163,Detours,"$6,487",-,-,"$6,487",100%
164,Mer Baky 4,"$6,040",-,-,"$6,040",100%
165,Italian Studies,"$5,895","$5,895",100%,-,-
166,Caged Birds,"$5,828",-,-,"$5,828",100%
167,Jumanji 2021 Re-release,"$5,788",-,-,"$5,788",100%
168,Last Film Show,"$5,783",-,-,"$5,783",100%
169,Alter Ego,"$5,733","$5,733",100%,-,-
170,Babi Yar. Context,"$5,240",-,-,"$5,240",100%
171,Taming the Garden,"$5,205",-,-,"$5,205",100%
172,Carona,"$5,123",-,-,"$5,123",100%
173,Mark Hunt: The Fight of His Life,"$5,113",-,-,"$5,113",100%
174,Out in Force,"$5,022",-,-,"$5,022",100%
175,Sila Nerangalil Sila Manidhargal,"$4,991",-,-,"$4,991",100%
176,Hit the Road,"$4,930",-,-,"$4,930",100%
177,Tokyo Story (Colorized Version),"$4,616",-,-,"$4,616",100%
178,Mission Extreme,"$3,981",-,-,"$3,981",100%
179,Zone 414,"$3,703",-,-,"$3,703",100%
180,Arekalar,"$3,599",-,-,"$3,599",100%
181,The Maid,"$3,475",-,-,"$3,475",100%
182,Abbi Fede,"$2,900",-,-,"$2,900",100%
183,Eduardo and Monica,"$2,468",-,-,"$2,468",100%
184,Canim Dayim,"$2,205",-,-,"$2,205",100%
185,Lines,"$1,977",-,-,"$1,977",100%
186,Gelin,"$1,955",-,-,"$1,955",100%
187,Moraba'A Bermuda,"$1,372",-,-,"$1,372",100%
188,Vidhi,"$1,352",-,-,"$1,352",100%
189,Hive,"$1,322",-,-,"$1,322",100%
190,Night Raiders,"$1,281",-,-,"$1,281",100%
191,The Wild Life,"$1,212",-,-,"$1,212",100%
192,28½,"$1,066",-,-,"$1,066",100%
193,Ninjababy,"$1,046",-,-,"$1,046",100%
194,Rowdy Boys,"$1,029",-,-,"$1,029",100%
195,Asterrarium,$772,-,-,$772,100%
196,Estado impuro,$514,-,-,$514,100%
197,"Where are you, Adam?",$439,-,-,$439,100%
198,Historias del Agua,$384,-,-,$384,100%
199,Cin Deresi: Müsfer,$239,-,-,$239,100%
200,Indemnity,$165,$165,100%,-,-
