Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$480,000,000",-,-,"$480,000,000",100%
2,Too Cool to Kill,"$217,000,000",-,-,"$217,000,000",100%
3,Scream,"$128,498,673","$73,298,673",57%,"$55,200,000",43%
4,Jackass Forever,"$47,451,591","$37,451,591",78.9%,"$10,000,000",21.1%
5,Death on the Nile,"$33,808,276","$12,891,123",38.1%,"$20,917,153",61.9%
6,Uncharted,"$21,500,000",-,-,"$21,500,000",100%
7,Moonfall,"$20,679,325","$15,251,621",73.8%,"$5,427,704",26.2%
8,Marry Me,"$16,563,980","$7,949,980",48%,"$8,614,000",52%
9,Redeeming Love,"$8,969,856","$8,821,905",98.4%,"$147,951",1.6%
10,The Pirates: The Last Royal Treasure,"$8,821,090",-,-,"$8,821,090",100%
11,Wunderschön,"$6,300,000",-,-,"$6,300,000",100%
12,The Policeman's Lineage,"$5,613,691",-,-,"$5,613,691",100%
13,Adieu Monsieur Haffmann,"$5,228,647",-,-,"$5,228,647",100%
14,Kingmaker,"$4,998,561",-,-,"$4,998,561",100%
15,Between Two Worlds,"$4,585,100",-,-,"$4,585,100",100%
16,Waiting for Bojangles,"$4,303,706",-,-,"$4,303,706",100%
17,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,-,"$3,871,192",100%
18,Super-héros malgré lui,"$3,822,691",-,-,"$3,822,691",100%
19,Blacklight,"$3,502,475","$3,502,475",100%,-,-
20,Special Delivery,"$3,464,888",-,-,"$3,464,888",100%
21,The Beatles: Get Back - The Rooftop Concert,"$2,130,269","$930,269",43.7%,"$1,200,000",56.3%
22,Beautiful Minds,"$2,029,652",-,-,"$2,029,652",100%
23,Chia Khoa Tram Ty,"$1,893,370",-,-,"$1,893,370",100%
24,Vaillante,"$1,876,045",-,-,"$1,876,045",100%
25,The King's Daughter,"$1,730,793","$1,730,793",100%,-,-
26,Aslan Hürkus Kayip Elmas,"$1,685,827",-,-,"$1,685,827",100%
27,Hridayam,"$1,622,784",-,-,"$1,622,784",100%
28,Promises,"$1,612,244",-,-,"$1,612,244",100%
29,Gierek,"$1,531,831",-,-,"$1,531,831",100%
30,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
31,For Ziko,"$1,360,668",-,-,"$1,360,668",100%
32,The Beatles: Get Back,"$1,214,743",-,-,"$1,214,743",100%
33,Swingers,"$1,139,284",-,-,"$1,139,284",100%
