Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
25,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,0.345014953583673,0.654985046416327
26,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,0.3783030882811692,0.6216969117188308
27,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011.csv,2011,0.3135721655639725,0.6864278344360275
28,Skyfall,1108561013,304360277,804200736,2012.csv,2012,0.2745543758356943,0.7254456241643057
29,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,0.22230711540729683,0.7776928845927031
30,The Dark Knight Rises,1081041287,448139099,632902188,2012.csv,2012,0.4145439257399981,0.5854560742600019
31,Joker,1074251311,335451311,738800000,2019.csv,2019,0.3122652097931673,0.6877347902068327
32,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,0.4796399952420543,0.5203600047579457
33,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,0.4043601587249657,0.5956398412750342
34,Toy Story 3,1066969703,415004880,651964823,2010.csv,2010,0.3889565737744289,0.6110434262255711
35,Pirates of the Caribbean: Dead Man's Chest,1066179725,423315812,642863913,2006.csv,2006,0.3970398255322291,0.602960174467771
36,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,0.5039284682810948,0.49607153171890517
37,Aladdin,1050693953,355559216,695134737,2019.csv,2019,0.3384041708670612,0.6615958291329388
38,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011.csv,2011,0.23053325062644625,0.7694667493735537
39,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,0.2557252136969475,0.7442747863030524
40,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,0.47278759898871686,0.5272124010112832
41,Alice in Wonderland,1025467110,334191110,691276000,2010.csv,2010,0.32589159295416115,0.6741084070458389
42,Zootopia,1023784195,341268248,682515947,2016.csv,2016,0.3333400238709487,0.6666599761290513
43,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012.csv,2012,0.29793756633113405,0.7020624336688659
44,The Dark Knight,1003045358,533345358,469700000,2008.csv,2008,0.5317260617839378,0.4682739382160622
45,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,680553613,2010.csv,2010,0.30309484418283916,0.6969051558171608
46,Harry Potter and the Sorcerer's Stone,974755371,317575550,657179821,2001.csv,2001,0.32580025660612644,0.6741997433938736
47,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,0.3791494377679614,0.6208505622320386
48,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,0.3765981036067848,0.6234018963932152
49,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,0.42046036900231326,0.5795396309976868
50,Pirates of the Caribbean: At World's End,960996492,309420425,651576067,2007.csv,2007,0.32197872476729084,0.6780212752327092
51,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,0.2695907664711547,0.7304092335288452
52,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,0.26685617934092387,0.7331438206590761
53,Harry Potter and the Order of the Phoenix,941676843,292004738,649672105,2007.csv,2007,0.31009017602018274,0.6899098239798173
54,The Lord of the Rings: The Two Towers,936689735,339789881,596899854,2002.csv,2002,0.36275606351125433,0.6372439364887457
55,Harry Potter and the Half-Blood Prince,933959197,301959197,632000000,2009.csv,2009,0.32331090905248616,0.6766890909475138
56,Shrek 2,928760770,441226247,487534523,2004.csv,2004,0.47506985787093486,0.5249301421290652
57,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,0.23950288546929155,0.7604971145307085
58,The Battle at Lake Changjin,902540935,342411,902198524,2021.csv,2021,0.00037938556216289516,0.9996206144378371
59,Harry Potter and the Goblet of Fire,895921036,290013036,605908000,2005.csv,2005,0.3237037912345659,0.6762962087654341
60,Spider-Man 3,894983373,336530303,558453070,2007.csv,2007,0.3760184972732449,0.6239815027267551
61,Ice Age 3: Dawn of the Dinosaurs,886686817,196573705,690113112,2009.csv,2009,0.22169462907442775,0.7783053709255723
62,The Lord of the Rings: The Fellowship of the Ring,880839846,313364114,567475732,2001.csv,2001,0.35575606101724877,0.6442439389827512
63,Spectre,880674609,200074609,680600000,2015.csv,2015,0.22718335121207064,0.7728166487879293
64,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,0.37970199843592395,0.620298001564076
65,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002.csv,2002,0.2980597864455185,0.7019402135544816
66,Ice Age 4: Continental Drift,877244782,161321843,715922939,2012.csv,2012,0.18389604168657225,0.8161039583134277
67,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,0.42079043941548044,0.5792095605845196
68,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,0.3781444477724682,0.6218555522275317
69,Finding Nemo,871014978,339714978,531300000,2003.csv,2003,0.3900219704373442,0.6099780295626558
70,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.003126531614572282,0.9968734683854277
71,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005.csv,2005,0.437921885250913,0.562078114749087
72,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,0.490939052520103,0.5090609474798969
73,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,0.4512999944240043,0.5487000055759956
74,Inside Out,857611174,356461711,501149463,2015.csv,2015,0.4156449004009829,0.5843550995990171
75,Venom,856085151,213515506,642569645,2018.csv,2018,0.24940919224050412,0.7505908077594958
76,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,0.36893059475225337,0.6310694052477467
77,Transformers: Revenge of the Fallen,836303693,402111870,434191823,2009.csv,2009,0.4808203925986968,0.5191796074013032
78,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012.csv,2012,0.35230594436023266,0.6476940556397673
79,Inception,826137188,292576195,533560993,2010.csv,2010,0.3541496488111125,0.6458503511888876
80,"Hi, Mom",822009764,0,822009764,2021.csv,2021,0.0,1.0
81,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,0.501995385973369,0.49800461402663104
82,Spider-Man,821708551,403706375,418002176,2002.csv,2002,0.4913011730359856,0.5086988269640144
83,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016.csv,2016,0.287502177034027,0.7124978229659731
84,Shrek the Third,813367380,322719944,490647436,2007.csv,2007,0.3967702073323865,0.6032297926676135
85,Coco,807816196,210460015,597356181,2017.csv,2017,0.2605295809147159,0.7394704190852841
86,Jumanji: The Next Level,800059707,320314960,479744747,2019.csv,2019,0.4003638193467978,0.5996361806532021
87,Harry Potter and the Prisoner of Azkaban,795634069,249541069,546093000,2004.csv,2004,0.31363798852107727,0.6863620114789227
88,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017,0.21709293024593404,0.782907069754066
89,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,0.27828959766643513,0.7217104023335649
90,Indiana Jones and the Kingdom of the Crystal Skull,790653942,317101119,473552823,2008.csv,2008,0.40106183268735285,0.5989381673126472
91,Fast & Furious 6,788679850,238679850,550000000,2013.csv,2013,0.30263211365169274,0.6973678863483073
92,Spider-Man 2,788618317,373585825,415032492,2004.csv,2004,0.4737219729072055,0.5262780270927945
93,Deadpool,782612155,363070709,419541446,2016.csv,2016,0.463921633059737,0.536078366940263
94,No Time to Die,774153007,160891007,613262000,2021.csv,2021,0.20782843384344046,0.7921715661565596
95,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014,0.4311421955581988,0.5688578044418011
96,2012,769679473,166112167,603567306,2009.csv,2009,0.21581992612137652,0.7841800738786235
97,The Da Vinci Code,760006945,217536138,542470807,2006.csv,2006,0.28622914491919543,0.7137708550808045
98,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019.csv,2019,0.22917508157671992,0.77082491842328
99,Maleficent,758410378,241410378,517000000,2014.csv,2014,0.31831101604466705,0.681688983955333
100,The Amazing Spider-Man,757930663,262030663,495900000,2012.csv,2012,0.34571851462354675,0.6542814853764533
101,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014,0.44632672231596815,0.5536732776840319
102,Shrek Forever After,752600867,238736787,513864080,2010.csv,2010,0.31721566831519477,0.6827843316848052
103,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,2012.csv,2012,0.2897112313338661,0.7102887686661339
104,Suicide Squad,746846894,325100054,421746840,2016.csv,2016,0.43529678788488074,0.5647032121151193
105,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014,0.3135485319465014,0.6864514680534985
106,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,453302158,2005.csv,2005,0.39155143866158654,0.6084485613384135
107,Monsters University,743559607,268492764,475066843,2013.csv,2013,0.3610911102114238,0.6389088897885762
108,The Matrix Reloaded,739412035,281576461,457835574,2003.csv,2003,0.3808113036731949,0.6191886963268052
109,Up,735099082,293004164,442094918,2009.csv,2009,0.3985913888000203,0.6014086111999797
110,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,0.43358912998919275,0.5664108700108073
111,F9: The Fast Saga,726229501,173005945,553223556,2021.csv,2021,0.23822489276705933,0.7617751072329407
112,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.005089820859476899,0.9949101791405232
113,Gravity,723192705,274092705,449100000,2013.csv,2013,0.37900369169238235,0.6209963083076177
114,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014,0.3636040781376089,0.6363959218623911
115,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,2011.csv,2011,0.394952008089077,0.6050479919109231
116,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014,0.29345976734028806,0.7065402326597119
117,The Twilight Saga: New Moon,709827462,296623634,413203828,2009.csv,2009,0.4178813160655089,0.5821186839344911
118,Transformers,709709780,319246193,390463587,2007.csv,2007,0.44982639664342794,0.5501736033565721
119,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014,0.28611987410580336,0.7138801258941967
120,It,700381748,327481748,372900000,2017.csv,2017,0.4675760739555994,0.5324239260444006
121,The Wandering Earth,699856699,5971413,693885286,2019.csv,2019,0.008532336703402763,0.9914676632965972
122,The Twilight Saga: Eclipse,698491347,300531751,397959596,2010.csv,2010,0.4302583736946422,0.5697416263053579
123,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,2011.csv,2011,0.3014162516921727,0.6985837483078273
124,The Hunger Games,694394724,408010692,286384032,2012.csv,2012,0.5875774655223331,0.4124225344776669
125,Detective Chinatown 3,686257563,0,686257563,2021.csv,2021,0.0,1.0
126,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015,0.2856866868434727,0.7143133131565274
127,Interstellar,677896797,188020017,489876780,2014.csv,2014,0.2773578778245798,0.7226421221754201
128,Doctor Strange,677718395,232641920,445076475,2016.csv,2016,0.3432722524817996,0.6567277475182004
129,Man of Steel,668045518,291045518,377000000,2013.csv,2013,0.4356671965577052,0.5643328034422948
130,Kung Fu Panda 2,665692281,165249063,500443218,2011.csv,2011,0.24823641150196843,0.7517635884980316
131,Ice Age 2: The Meltdown,660998756,195330621,465668135,2006.csv,2006,0.29550830349822926,0.7044916965017707
132,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,2015.csv,2015,0.4279280184430351,0.5720719815569649
133,Justice League,657924295,229024295,428900000,2017.csv,2017,0.3481012887660578,0.6518987112339422
134,Big Hero 6,657827828,222527828,435300000,2014.csv,2014,0.33827670178769026,0.6617232982123098
135,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,0.24365039813545178,0.7563496018645482
136,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,348850097,2003.csv,2003,0.4668053125312111,0.5331946874687888
137,Star Wars: Episode II - Attack of the Clones,645256452,302191252,343065200,2002.csv,2002,0.4683273620331037,0.5316726379668963
138,Thor: The Dark World,644783140,206362140,438421000,2013.csv,2013,0.32004890822672566,0.6799510917732744
139,Moana,643331111,248757044,394574067,2016.csv,2016,0.38667031602642327,0.6133296839735767
140,Sing,634151679,270395425,363756254,2016.csv,2016,0.42638919670825315,0.5736108032917469
141,Kung Fu Panda,631744560,215434591,416309969,2008.csv,2008,0.3410153480387706,0.6589846519612294
142,The Incredibles,631442092,261441092,370001000,2004.csv,2004,0.4140381126192012,0.5859618873807988
143,The Martian,630161890,228433663,401728227,2015.csv,2015,0.36249996488997455,0.6375000351100255
144,Hancock,629443428,227946274,401497154,2008.csv,2008,0.3621394137425167,0.6378605862574833
145,Fast Five,626137675,209837675,416300000,2011.csv,2011,0.33513024911014977,0.6648697508898502
146,Men in Black 3,624026776,179020854,445005922,2012.csv,2012,0.2868800841328001,0.7131199158671999
147,Iron Man 2,623933331,312433331,311500000,2010.csv,2010,0.5007479412892594,0.4992520587107407
148,Ratatouille,623726085,206445654,417280431,2007.csv,2007,0.3309876866862158,0.6690123133137842
149,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,0.3479327732285988,0.6520672267714012
150,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014,0.2847823640393944,0.7152176359606056
151,Logan,619021436,226277068,392744368,2017.csv,2017,0.36553995522701094,0.6344600447729891
152,The Passion of the Christ,611486736,370274604,241212132,2004.csv,2004,0.6055317019991747,0.39446829800082533
153,Mamma Mia!,609841637,144130063,465711574,2008.csv,2008,0.23634014841790804,0.7636598515820919
154,Life of Pi,609016565,124987023,484029542,2012.csv,2012,0.20522762463776334,0.7947723753622367
155,Casino Royale,605999592,167445960,438553632,2006.csv,2006,0.27631365137948805,0.723686348620512
156,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017,0.21500375644284633,0.7849962435571537
157,Madagascar: Escape 2 Africa,603900354,180010950,423889404,2008.csv,2008,0.298080550553875,0.701919449446125
158,War of the Worlds,603873119,234280354,369592765,2005.csv,2005,0.38796287933459084,0.6120371206654092
159,Tangled,592461732,200821936,391639796,2010.csv,2010,0.33896186901738995,0.66103813098261
160,Quantum of Solace,589580482,168368427,421212055,2008.csv,2008,0.2855732714028345,0.7144267285971655
161,The Croods,587204668,187168425,400036243,2013.csv,2013,0.3187447838885368,0.6812552161114632
162,The Hangover Part II,586764305,254464305,332300000,2011.csv,2011,0.43367379854505633,0.5663262014549436
163,I Am Legend,585410052,256393010,329017042,2007.csv,2007,0.4379716561477834,0.5620283438522166
164,Iron Man,585366247,318604126,266762121,2008.csv,2008,0.5442816828487209,0.45571831715127914
165,Ready Player One,582890172,137690172,445200000,2018.csv,2018,0.23621975221774713,0.7637802477822528
166,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.0026643637736368433,0.9973356362263631
167,Night at the Museum,574480841,250863268,323617573,2006.csv,2006,0.43667821465259277,0.5633217853474073
168,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015,0.2916998193212763,0.7083001806787237
169,Kong: Skull Island,566652812,168052812,398600000,2017.csv,2017,0.29657103686975084,0.7034289631302492
170,The Smurfs,563749323,142614158,421135165,2011.csv,2011,0.2529744199799243,0.7470255800200757
171,Cars 2,559852396,191452396,368400000,2011.csv,2011,0.3419694143811434,0.6580305856188566
172,King Kong,556906378,218080025,338826353,2005.csv,2005,0.3915918969776999,0.6084081030223001
173,Puss in Boots,554987477,149260504,405726973,2011.csv,2011,0.26894391348581725,0.7310560865141827
174,The Mermaid,553810228,3232685,550577543,2016.csv,2016,0.005837170995693492,0.9941628290043065
175,The Day After Tomorrow,552639571,186740799,365898772,2004.csv,2004,0.3379070352528194,0.6620929647471806
176,Ted,549368315,218815487,330552828,2012.csv,2012,0.398303799155217,0.6016962008447829
177,American Sniper,547426372,350126372,197300000,2014.csv,2014,0.639586234621521,0.3604137653784791
178,Mission: Impossible II,546388108,215409889,330978219,2000.csv,2000,0.3942433699527004,0.6057566300472996
179,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.0036457885301083076,0.9963542114698917
180,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016,0.285774485495812,0.7142255145041879
181,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,2011.csv,2011,0.3435670893134785,0.6564329106865214
182,Despicable Me,543113985,251513985,291600000,2010.csv,2010,0.4630961307321151,0.5369038692678849
183,Cinderella,542351353,201151353,341200000,2015.csv,2015,0.3708875286976559,0.6291124713023442
184,Madagascar,542063846,193595521,348468325,2005.csv,2005,0.35714523746341126,0.6428547625365887
185,World War Z,540007876,202359711,337648165,2013.csv,2013,0.37473473997997764,0.6252652600200224
186,Brave,538983207,237283207,301700000,2012.csv,2012,0.4402423005360907,0.5597576994639093
187,The Simpsons Movie,536414270,183135014,353279256,2007.csv,2007,0.34140593239624295,0.658594067603757
188,The Revenant,532950503,183637894,349312609,2015.csv,2015,0.34456838480552104,0.6554316151944789
189,The Meg,530243742,145443742,384800000,2018.csv,2018,0.2742960085703378,0.7257039914296621
190,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,0.3799029052835511,0.6200970947164489
191,"Monsters, Inc.",528773250,255873250,272900000,2001.csv,2001,0.48389976232723575,0.5161002376727643
192,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,0.31690343941583043,0.6830965605841696
193,The Boss Baby,527965936,175003033,352962903,2017.csv,2017,0.331466522870521,0.6685334771294791
194,Dunkirk,525245546,188045546,337200000,2017.csv,2017,0.3580145465907482,0.6419854534092517
195,Godzilla,524976069,200676069,324300000,2014.csv,2014,0.38225755582013016,0.6177424441798699
196,Sherlock Holmes,524028679,209028679,315000000,2009.csv,2009,0.39888786125005193,0.6011121387499481
197,Meet the Fockers,522657936,279261160,243396776,2004.csv,2004,0.5343096139269183,0.46569038607308166
198,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,0.3081633912243746,0.6918366087756255
199,WALL·E,521311860,223808164,297503696,2008.csv,2008,0.4293172305728859,0.5706827694271142
200,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016,0.2753964959569638,0.7246035040430362
201,Ant-Man,519311965,180202163,339109802,2015.csv,2015,0.3470017545234106,0.6529982454765894
202,The Grinch,511595957,270620950,240975007,2018.csv,2018,0.5289739809261237,0.4710260190738763
203,Venom: Let There Be Carnage,502050366,213550366,288500000,2021.csv,2021,0.42535645915653014,0.5746435408434699
204,Rio 2,498781117,131538435,367242682,2014.csv,2014,0.2637197570572825,0.7362802429427175
205,Troy,497409852,133378256,364031596,2004.csv,2004,0.268145585504004,0.731854414495996
206,How to Train Your Dragon,494878759,217581231,277297528,2010.csv,2010,0.4396657303289107,0.5603342696710892
207,Oz the Great and Powerful,493311825,234911825,258400000,2013.csv,2013,0.47619337930932426,0.5238066206906757
208,Clash of the Titans,493214993,163214888,330000105,2010.csv,2010,0.33092037005452507,0.6690796299454749
209,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,0.23169134358178353,0.7683086564182164
210,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017,0.2993157665019495,0.7006842334980505
211,Mr. & Mrs. Smith,487287646,186336279,300951367,2005.csv,2005,0.38239483502112015,0.6176051649788799
212,Angels & Demons,485930816,133375846,352554970,2009.csv,2009,0.2744749697043293,0.7255250302956707
213,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014,0.39423274189184543,0.6057672581081546
214,Bruce Almighty,484592874,242829261,241763613,2003.csv,2003,0.5010995291688916,0.49890047083110844
215,Shrek,484409218,267665011,216744207,2001.csv,2001,0.5525596975737155,0.4474403024262845
216,Rio,483866518,143619809,340246709,2011.csv,2011,0.29681700150205476,0.7031829984979453
217,Rise of the Planet of the Apes,481800873,176760185,305040688,2011.csv,2011,0.3668739408863628,0.6331260591136372
218,Water Gate Bridge,480051716,0,480051716,2022.csv,2022,0.0,1.0
219,Charlie and the Chocolate Factory,474968763,206459076,268509687,2005.csv,2005,0.43467927173981336,0.5653207282601866
220,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015,0.3574138795282224,0.6425861204717775
221,San Andreas,473990832,155190832,318800000,2015.csv,2015,0.32741315131597315,0.6725868486840269
222,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,0.44725482310222375,0.5527451768977762
223,Wreck-It Ralph,471222889,189422889,281800000,2012.csv,2012,0.40198151113156133,0.5980184888684387
224,The Hangover,468812793,277322503,191490290,2009.csv,2009,0.5915420977003928,0.40845790229960727
225,Godzilla vs. Kong,468216094,100916094,367300000,2021.csv,2021,0.2155331593535527,0.7844668406464473
226,The Lego Movie,468060692,257760692,210300000,2014.csv,2014,0.5506992926464331,0.44930070735356686
227,Bumblebee,467989645,127195589,340794056,2018.csv,2018,0.2717914602576303,0.7282085397423698
228,Star Trek Into Darkness,467365246,228778661,238586585,2013.csv,2013,0.4895072172311246,0.5104927827688753
229,Cars,461983149,244082982,217900167,2006.csv,2006,0.5283374134496841,0.47166258655031595
230,The Eight Hundred,461421559,372755,461048804,2020.csv,2020,0.0008078404502985089,0.9991921595497015
231,Gladiator,460583960,187705427,272878533,2000.csv,2000,0.4075379155626696,0.5924620844373304
232,X-Men: The Last Stand,460435291,234362462,226072829,2006.csv,2006,0.5090019522417538,0.49099804775824624
233,National Treasure: Book of Secrets,459242249,219964115,239278134,2007.csv,2007,0.47897186175481865,0.5210281382451813
234,Lucy,458863600,126663600,332200000,2014.csv,2014,0.27603758502526676,0.7239624149747332
235,300,456068181,210614939,245453242,2007.csv,2007,0.4618058171438187,0.5381941828561814
236,Demon Slayer: Mugen Train,454779627,49505008,405274619,2020.csv,2020,0.10885493777846825,0.8911450622215318
237,The Last Samurai,454627263,111127263,343500000,2003.csv,2003,0.24443598535356645,0.7555640146464335
238,Dying to Survive,451176639,0,451176639,2018.csv,2018,0.0,1.0
239,Ocean's Eleven,450717150,183417150,267300000,2001.csv,2001,0.4069451317749946,0.5930548682250054
240,"My People, My Country",450064993,2356683,447708310,2019.csv,2019,0.005236317057878794,0.9947636829421213
241,Thor,449326618,181030624,268295994,2011.csv,2011,0.40289316668081304,0.597106833319187
242,Pearl Harbor,449220945,198542554,250678391,2001.csv,2001,0.44197083018914,0.55802916981086
243,La La Land,447407695,151101803,296305892,2016.csv,2016,0.3377273227274287,0.6622726772725712
244,The Bourne Ultimatum,444100035,227471070,216628965,2007.csv,2007,0.5122068274549899,0.48779317254501003
245,Alvin and the Chipmunks: The Squeakquel,443140005,219614612,223525393,2009.csv,2009,0.4955874205038202,0.5044125794961798
246,Les Misérables,442299309,148809770,293489539,2012.csv,2012,0.3364458568484899,0.6635541431515101
247,Men in Black II,441818803,190418803,251400000,2002.csv,2002,0.43098845433248795,0.569011545667512
248,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015,0.20372273134974855,0.7962772686502514
249,Warcraft,439048914,47365290,391683624,2016.csv,2016,0.10788157877097038,0.8921184212290296
250,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,0.4935679995096436,0.5064320004903564
251,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017,0.4007882900546513,0.5992117099453488
252,Terminator 3: Rise of the Machines,433371112,150371112,283000000,2003.csv,2003,0.34698000821060726,0.6530199917893927
253,The Mummy Returns,433013274,202019785,230993489,2001.csv,2001,0.46654409259518453,0.5334559074048155
254,Pokémon Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,0.3328026947731957,0.6671973052268043
255,Shang-Chi and the Legend of the Ten Rings,432243292,224543292,207700000,2021.csv,2021,0.5194835782437082,0.48051642175629183
256,Die Another Day,431971116,160942139,271028977,2002.csv,2002,0.37257615854111875,0.6274238414588812
257,The Secret Life of Pets 2,430051293,158874395,271176898,2019.csv,2019,0.36943126921374003,0.63056873078626
258,Cast Away,429632142,233632142,196000000,2000.csv,2000,0.5437957712204875,0.4562042287795125
259,Rampage,428028233,101028233,327000000,2018.csv,2018,0.2360317035441912,0.7639682964558088
260,The Matrix Revolutions,427343298,139313948,288029350,2003.csv,2003,0.32600007687496246,0.6739999231250375
261,The Intouchables,426588510,10198820,416389690,2011.csv,2011,0.023907863810021513,0.9760921361899785
262,Bad Boys for Life,426505244,206305244,220200000,2020.csv,2020,0.4837109200936343,0.5162890799063657
263,Django Unchained,425368238,162805434,262562804,2012.csv,2012,0.38273998727662406,0.6172600127233759
264,The King's Speech,423999102,135453143,288545959,2010.csv,2010,0.3194656365097679,0.6805343634902321
265,"My People, My Homeland",422390820,0,422390820,2020.csv,2020,0.0,1.0
266,The Chronicles of Narnia: Prince Caspian,419665568,141621490,278044078,2008.csv,2008,0.33746273413595845,0.6625372658640415
267,Sex and the City,418765321,152647258,266118063,2008.csv,2008,0.3645174286053166,0.6354825713946833
268,The Captain,417282021,706572,416575449,2019.csv,2019,0.0016932720904359309,0.9983067279095641
269,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,311299267,2010.csv,2010,0.25111958427045944,0.7488804157295406
