Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$480,051,716",-,-,"$480,051,716",100%
2,Too Cool to Kill,"$217,106,290","$72,432",<0.1%,"$217,033,858",100%
3,Uncharted,"$139,315,831","$51,315,831",36.8%,"$88,000,000",63.2%
4,Scream,"$134,645,661","$77,345,661",57.4%,"$57,300,000",42.6%
5,Death on the Nile,"$78,807,804","$26,472,520",33.6%,"$52,335,284",66.4%
6,Jackass Forever,"$60,850,771","$47,550,771",78.1%,"$13,300,000",21.9%
7,Marry Me,"$36,467,725","$17,442,725",47.8%,"$19,025,000",52.2%
8,Moonfall,"$34,923,599","$17,937,339",51.4%,"$16,986,260",48.6%
9,The 355,"$26,694,498","$14,559,350",54.5%,"$12,135,148",45.5%
10,Dog,"$18,857,076","$17,385,059",92.2%,"$1,472,017",7.8%
11,Super-héros malgré lui,"$10,688,141",-,-,"$10,688,141",100%
12,Wunderschön,"$9,400,000",-,-,"$9,400,000",100%
13,Redeeming Love,"$9,326,978","$9,124,310",97.8%,"$202,668",2.2%
14,The Pirates: The Last Royal Treasure,"$8,821,090",-,-,"$8,821,090",100%
15,Blacklight,"$7,828,292","$7,310,830",93.4%,"$517,462",6.6%
16,Vaillante,"$6,881,984",-,-,"$6,881,984",100%
17,Adieu Monsieur Haffmann,"$5,781,484",-,-,"$5,781,484",100%
18,The Policeman's Lineage,"$5,613,691",-,-,"$5,613,691",100%
19,Kingmaker,"$4,998,561",-,-,"$4,998,561",100%
20,Waiting for Bojangles,"$4,405,010",-,-,"$4,405,010",100%
21,Maison de retraite,"$4,255,379",-,-,"$4,255,379",100%
22,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,-,"$3,871,192",100%
23,Special Delivery,"$3,464,888",-,-,"$3,464,888",100%
24,Beautiful Minds,"$3,358,402",-,-,"$3,358,402",100%
25,Between Two Worlds,"$3,298,460",-,-,"$3,298,460",100%
26,Chia Khoa Tram Ty,"$2,820,544",-,-,"$2,820,544",100%
27,Chuyen Ma Gan Nhà,"$2,635,059",-,-,"$2,635,059",100%
28,The Young Lovers,"$2,440,653",-,-,"$2,440,653",100%
