Rank,Release Group,Worldwide,Domestic,%,Foreign,%
29,Promises,"$2,396,811",-,-,"$2,396,811",100%
30,Disobedient,"$2,336,395",-,-,"$2,336,395",100%
31,The Beatles: Get Back - The Rooftop Concert,"$2,163,764","$963,764",44.5%,"$1,200,000",55.5%
32,The Wannabes,"$2,078,834",-,-,"$2,078,834",100%
33,The Cursed,"$2,046,523","$2,046,523",100%,-,-
34,Aslan: Hürkus kayip Elmas,"$1,804,399",-,-,"$1,804,399",100%
35,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
36,Love Mocktail 2,"$1,750,544",-,-,"$1,750,544",100%
37,Hridayam,"$1,717,984",-,-,"$1,717,984",100%
38,The Grandmother,"$1,579,398",-,-,"$1,579,398",100%
39,"8 rzeczy, których nie wiecie o facetach","$1,554,861",-,-,"$1,554,861",100%
40,Gierek,"$1,531,831",-,-,"$1,531,831",100%
41,For Ziko,"$1,446,445",-,-,"$1,446,445",100%
42,King,"$1,426,723",-,-,"$1,426,723",100%
43,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
44,The Beatles: Get Back,"$1,399,802",-,-,"$1,399,802",100%
45,Chickenhare and the Hamster of Darkness,"$1,383,337",-,-,"$1,383,337",100%
46,Nhà Khong Bán,"$1,256,299",-,-,"$1,256,299",100%
47,Un Autre Monde,"$1,242,605",-,-,"$1,242,605",100%
48,Undercover,"$1,189,749",-,-,"$1,189,749",100%
49,Swingers,"$1,168,817",-,-,"$1,168,817",100%
50,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
51,Badhaai Do,"$1,152,440",-,-,"$1,152,440",100%
52,1990,"$1,097,786",-,-,"$1,097,786",100%
53,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
54,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
55,Fireheart,"$1,003,437",-,-,"$1,003,437",100%
56,Mali Twist,"$956,475",-,-,"$956,475",100%
57,Heart to Heart,"$887,955",-,-,"$887,955",100%
58,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
59,The Souvenir,"$827,620",-,-,"$827,620",100%
60,My Brothers and I,"$825,312",-,-,"$825,312",100%
61,Adieu Paris,"$771,286",-,-,"$771,286",100%
62,Around the World in 80 Days,"$768,391",-,-,"$768,391",100%
63,Placés,"$759,453",-,-,"$759,453",100%
64,"Love, Sex & Pandemic","$717,052",-,-,"$717,052",100%
65,The Exorcism of God,"$700,338",-,-,"$700,338",100%
66,FIR,"$697,890",-,-,"$697,890",100%
67,America Latina,"$693,818",-,-,"$693,818",100%
68,Meppadiyan,"$691,981",-,-,"$691,981",100%
69,Liubov i blohery,"$677,744",-,-,"$677,744",100%
70,Lynx,"$668,972",-,-,"$668,972",100%
71,Dilberay Küçük Dev Kadin,"$661,900",-,-,"$661,900",100%
72,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,-,"$658,191",100%
73,Zlatni decko,"$653,456",-,-,"$653,456",100%
74,Boiling Point,"$651,281",-,-,"$651,281",100%
75,Tajemství staré bambitky 2,"$644,429",-,-,"$644,429",100%
76,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
77,Kaptan Pengu ve Arkadaslari 2,"$588,502",-,-,"$588,502",100%
78,Bangarraju,"$534,735",-,-,"$534,735",100%
79,The Chef,"$416,658",-,-,"$416,658",100%
80,Last Looks,"$415,748",-,-,"$415,748",100%
81,Krime Story,"$390,368",-,-,"$390,368",100%
82,The Family,"$373,537",-,-,"$373,537",100%
83,Emergency Situation,"$361,992",-,-,"$361,992",100%
84,The Glance of Music,"$350,503",-,-,"$350,503",100%
85,Nitram,"$344,826",-,-,"$344,826",100%
86,Petya na moyata Petya,"$340,103",-,-,"$340,103",100%
87,Den slepogo valentina,"$339,143",-,-,"$339,143",100%
88,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
89,The Best Weekend,"$331,904",-,-,"$331,904",100%
90,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
91,Clean,"$318,877","$318,877",100%,-,-
92,Un Rabón con Corazón,"$272,584",-,-,"$272,584",100%
93,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
94,The Sadness,"$264,927",-,-,"$264,927",100%
95,Secret Name,"$254,609",-,-,"$254,609",100%
96,I Want to Talk About Duras,"$250,010",-,-,"$250,010",100%
97,Naai Sekar,"$237,861",-,-,"$237,861",100%
98,Sundown,"$229,530","$229,530",100%,-,-
99,Milosc jest blisko,"$218,953",-,-,"$218,953",100%
100,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
101,Afacanlar: Is Basa Düstü,"$194,730",-,-,"$194,730",100%
102,The Grandson,"$190,796",-,-,"$190,796",100%
103,Super Sharanya,"$187,264",-,-,"$187,264",100%
104,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
105,Book of Love,"$180,931",-,-,"$180,931",100%
106,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
107,Rosy,"$170,246",-,-,"$170,246",100%
108,Al Gareema,"$167,833",-,-,"$167,833",100%
109,Anka,"$152,402",-,-,"$152,402",100%
110,Reunion 2,"$150,984",-,-,"$150,984",100%
111,Arthur Rambo,"$149,028",-,-,"$149,028",100%
112,Pups Alone,"$145,884",-,-,"$145,884",100%
113,Stop-Zemlia,"$143,434",-,-,"$143,434",100%
114,Jane by Charlotte,"$133,152",-,-,"$133,152",100%
115,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
116,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%
117,Yaytso Faberzhe,"$108,923",-,-,"$108,923",100%
118,Project 'Gemini',"$105,631",-,-,"$105,631",100%
119,DJ Tillu,"$96,808",-,-,"$96,808",100%
120,Ghosts of the Ozarks,"$91,731",-,-,"$91,731",100%
121,Flight 666,"$87,997",-,-,"$87,997",100%
122,Hamel El Lakab,"$86,963",-,-,"$86,963",100%
123,Shattered,"$85,187",-,-,"$85,187",100%
124,See for Me,"$79,411","$51,218",64.5%,"$28,193",35.5%
125,Petra de San José,"$73,702",-,-,"$73,702",100%
126,The Conversation 2021 Re-release,"$70,627","$70,627",100%,-,-
127,Masal Zamani Melez Prenses,"$70,258",-,-,"$70,258",100%
128,Howl's Moving Castle 2022 Re-release,"$69,760",-,-,"$69,760",100%
129,Ghost in Transit,"$69,013",-,-,"$69,013",100%
130,The Last Execution,"$68,529",-,-,"$68,529",100%
131,Kernagis,"$68,367",-,-,"$68,367",100%
132,Tazza: The Hidden Card 2022 Re-release,"$65,989",-,-,"$65,989",100%
133,Tazza 2: The Hidden Card,"$61,756",-,-,"$61,756",100%
134,Panghrun,"$60,244",-,-,"$60,244",100%
135,Träume sind wie wilde Tiger,"$59,423",-,-,"$59,423",100%
136,Save the Cinema,"$58,640",-,-,"$58,640",100%
137,We Are Nothing,"$58,248",-,-,"$58,248",100%
138,Blow-Up 2020 Re-release,"$53,332",-,-,"$53,332",100%
139,Mult V Kino Vol 133,"$53,075",-,-,"$53,075",100%
140,The Seventh Seal 2022 Re-release,"$50,129",-,-,"$50,129",100%
141,Muu Ke Thuong Luu,"$49,344",-,-,"$49,344",100%
142,Sing a Bit of Harmony,"$48,915",-,-,"$48,915",100%
143,Art of the Dead,"$48,621",-,-,"$48,621",100%
144,Malazgirt 1071,"$47,913",-,-,"$47,913",100%
145,Sewing Sisters,"$47,588",-,-,"$47,588",100%
146,Mariya,"$46,662",-,-,"$46,662",100%
147,Mr. Landsbergis,"$46,298",-,-,"$46,298",100%
148,La notte più lunga dell'anno,"$46,124",-,-,"$46,124",100%
149,Only Fools Rush In,"$46,004",-,-,"$46,004",100%
150,Aaraattu,"$45,925",-,-,"$45,925",100%
151,Cow,"$45,678",-,-,"$45,678",100%
152,Small Body,"$45,623",-,-,"$45,623",100%
153,Fortress,"$45,617",-,-,"$45,617",100%
154,Gold,"$45,021",-,-,"$45,021",100%
155,Wyrmwood: Apocalypse,"$43,546",-,-,"$43,546",100%
156,Ballad of a White Cow,"$42,467",-,-,"$42,467",100%
157,"That Day, on the Beach 2022 Re-release","$37,482",-,-,"$37,482",100%
158,Strawberry Mansion,"$34,004","$34,004",100%,-,-
159,Nalan,"$33,925",-,-,"$33,925",100%
160,The Unkind,"$33,603",-,-,"$33,603",100%
161,Fritanga Express,"$31,153",-,-,"$31,153",100%
162,Another Name,"$30,250",-,-,"$30,250",100%
163,Shortbus 2022 Re-release (Restoration),"$28,835","$28,835",100%,-,-
164,C.I.Ape,"$28,517",-,-,"$28,517",100%
165,Embrace Again,"$27,339",-,-,"$27,339",100%
166,Superworm,"$27,286",-,-,"$27,286",100%
167,Khiladi,"$27,250",-,-,"$27,250",100%
168,Düs Pesine,"$25,416",-,-,"$25,416",100%
169,Know Fear,"$25,126",-,-,"$25,126",100%
170,Catch the Fair One,"$23,636","$22,967",97.2%,$669,2.8%
171,Yildizlar Da Kayar,"$23,558",-,-,"$23,558",100%
172,Kara Neme: Gelin Deresi,"$23,177",-,-,"$23,177",100%
173,Spravzhnii Santa,"$21,719",-,-,"$21,719",100%
174,Nashi deti,"$20,800",-,-,"$20,800",100%
175,Nguoi Tình,"$20,556",-,-,"$20,556",100%
176,Detours,"$20,275",-,-,"$20,275",100%
177,Portret neznakomtsa,"$19,968",-,-,"$19,968",100%
178,The Commando,"$19,253",-,-,"$19,253",100%
179,Candlelight Revolution,"$19,153",-,-,"$19,153",100%
180,The Automat,"$18,645","$18,645",100%,-,-
181,A Vanishing Fog,"$17,959",-,-,"$17,959",100%
182,Brighton 4th,"$17,465","$17,465",100%,-,-
183,Cumali Ceber 666,"$17,009",-,-,"$17,009",100%
184,Mothers of the Revolution,"$16,641",-,-,"$16,641",100%
185,Lobis,"$15,359",-,-,"$15,359",100%
186,Hinterland,"$13,846",-,-,"$13,846",100%
187,Olga,"$12,939",-,-,"$12,939",100%
188,Doineann,"$12,175",-,-,"$12,175",100%
189,The Crusade,"$11,490",-,-,"$11,490",100%
190,Friday the 13th 2021 Re-release,"$11,064",-,-,"$11,064",100%
191,"Mama, I'm Home","$10,258",-,-,"$10,258",100%
192,Lübbey'in Laneti,"$10,187",-,-,"$10,187",100%
193,The Dance,"$9,304",-,-,"$9,304",100%
194,Shooter,"$9,204",-,-,"$9,204",100%
195,WarHunt,"$8,953",-,-,"$8,953",100%
196,The Pregnant Tree and the Goblin,"$8,655",-,-,"$8,655",100%
197,Koati,"$8,517",-,-,"$8,517",100%
198,Broken Keys,"$8,510",-,-,"$8,510",100%
199,My Little Princess 2022 Re-release,"$8,018",-,-,"$8,018",100%
200,"Help, I Shrunk My Friends","$7,964",-,-,"$7,964",100%
